Timestamp,Values,Type
2024-07-01 04:27:00,46,Low
2024-07-01 04:27:00,47,Peak
2024-07-01 04:54:00,44,Low
2024-07-01 04:54:00,45,Peak
2024-07-01 05:08:00,43,Low
2024-07-01 10:29:00,100,Peak
2024-07-01 11:08:00,97,Peak
2024-07-01 11:08:00,96,Low
2024-07-01 11:57:00,96,Peak
2024-07-01 11:57:00,95,Low
2024-07-01 12:13:00,95,Peak
2024-07-01 12:13:00,94,Low
2024-07-01 12:22:00,94,Peak
2024-07-01 12:22:00,93,Low
2024-07-01 13:06:00,86,Peak
2024-07-01 13:06:00,85,Low
2024-07-01 13:16:00,84,Peak
2024-07-01 13:16:00,83,Low
2024-07-01 13:19:00,83,Peak
2024-07-01 13:19:00,82,Low
2024-07-01 13:23:00,82,Peak
2024-07-01 13:23:00,81,Low
2024-07-01 13:27:00,81,Peak
2024-07-01 13:27:00,80,Low
2024-07-01 13:30:00,79,Low
2024-07-01 13:30:00,80,Peak
2024-07-01 13:48:00,74,Low
2024-07-01 13:48:00,75,Peak
2024-07-01 13:58:00,71,Low
2024-07-01 13:58:00,72,Peak
2024-07-01 14:07:00,70,Peak
2024-07-01 14:09:00,68,Low
2024-07-01 14:28:00,63,Low
2024-07-01 14:28:00,64,Peak
2024-07-01 14:41:00,59,Low
2024-07-01 14:41:00,60,Peak
2024-07-01 14:49:00,57,Low
2024-07-01 14:49:00,58,Peak
2024-07-01 15:24:00,49,Low
2024-07-01 15:24:00,50,Peak
2024-07-01 15:36:00,46,Low
2024-07-01 16:45:00,89,Peak
2024-07-01 17:07:00,82,Low
2024-07-01 17:07:00,83,Peak
2024-07-01 17:10:00,81,Low
2024-07-01 17:10:00,82,Peak
2024-07-01 17:13:00,80,Low
2024-07-01 17:13:00,81,Peak
2024-07-01 17:19:00,78,Low
2024-07-01 17:19:00,79,Peak
2024-07-01 17:35:00,73,Low
2024-07-01 17:35:00,74,Peak
2024-07-01 18:07:00,64,Low
2024-07-01 18:07:00,65,Peak
2024-07-01 18:12:00,64,Peak
2024-07-01 18:12:00,63,Low
2024-07-01 18:23:00,61,Peak
2024-07-01 18:23:00,60,Low
2024-07-01 18:53:00,53,Peak
2024-07-01 18:53:00,52,Low
2024-07-01 19:12:00,47,Low
2024-07-01 19:12:00,48,Peak
2024-07-01 19:37:00,44,Peak
2024-07-01 19:37:00,43,Low
2024-07-01 19:50:00,42,Peak
2024-07-01 19:50:00,41,Low
2024-07-01 19:53:00,41,Peak
2024-07-01 19:53:00,40,Low
2024-07-01 21:06:00,34,Low
2024-07-01 21:07:00,35,Peak
2024-07-01 21:27:00,33,Low
2024-07-01 21:28:00,34,Peak
2024-07-01 21:41:00,32,Low
2024-07-01 21:53:00,36,Peak
2024-07-01 21:53:00,35,Low
2024-07-01 21:56:00,38,Low
2024-07-01 21:58:00,41,Peak
2024-07-01 22:01:00,43,Low
2024-07-01 22:03:00,46,Peak
2024-07-01 22:04:00,46,Low
2024-07-01 22:06:00,49,Peak
2024-07-01 22:09:00,52,Peak
